DATE_REPORTED,WEAPONS,SNA_NEIGHBORHOOD
05/20/2020 10:15:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/20/2020 10:15:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/20/2020 10:15:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/20/2020 10:15:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/20/2020 10:39:00 PM,99 - NONE,OVER-THE-RHINE
05/20/2020 10:39:00 PM,99 - NONE,OVER-THE-RHINE
05/20/2020 10:42:58 PM,12 - HANDGUN,N/A
05/20/2020 10:42:58 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/20/2020 11:08:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
05/20/2020 11:54:00 PM,35 - MOTOR VEHICLE (WHEN USED AS WEAPON),MT. AIRY
05/20/2020 11:54:00 PM,80 - OTHER WEAPON,MT. AIRY
05/21/2020 12:20:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
05/21/2020 12:34:00 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",WESTWOOD
05/21/2020 12:38:00 AM,99 - NONE,SOUTH FAIRMOUNT
05/21/2020 12:52:00 AM,99 - NONE,CORRYVILLE
05/21/2020 12:52:00 AM,99 - NONE,CORRYVILLE
05/21/2020 01:15:00 AM,99 - NONE,AVONDALE
05/21/2020 02:15:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WESTWOOD
05/21/2020 04:30:00 AM,80 - OTHER WEAPON,WEST PRICE HILL
05/21/2020 04:30:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/21/2020 04:56:00 AM,U - UNKNOWN,COLUMBIA TUSCULUM
05/21/2020 06:33:00 AM,99 - NONE,WEST PRICE HILL
05/21/2020 07:05:00 AM,80 - OTHER WEAPON,N/A
05/21/2020 07:05:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/21/2020 08:00:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/21/2020 08:33:35 AM,99 - NONE,WEST PRICE HILL
05/21/2020 08:44:25 AM,99 - NONE,CARTHAGE
05/21/2020 08:56:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",OVER-THE-RHINE
05/21/2020 09:21:00 AM,99 - NONE,WEST PRICE HILL
05/21/2020 10:00:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/21/2020 10:21:00 AM,99 - NONE,DOWNTOWN
05/21/2020 10:33:52 AM,11 - FIREARM (TYPE NOT STATED),SOUTH FAIRMOUNT
05/21/2020 10:38:00 AM,11 - FIREARM (TYPE NOT STATED),CORRYVILLE
05/21/2020 11:00:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",OVER-THE-RHINE
05/21/2020 11:11:54 AM,99 - NONE,N/A
05/21/2020 11:20:00 AM,99 - NONE,N/A
05/21/2020 11:28:00 AM,99 - NONE,WEST END
05/21/2020 11:30:00 AM,99 - NONE,WESTWOOD
05/21/2020 11:37:00 AM,99 - NONE,WINTON HILLS
05/21/2020 11:37:00 AM,11 - FIREARM (TYPE NOT STATED),WINTON HILLS
05/21/2020 12:00:00 PM,99 - NONE,CAMP WASHINGTON
05/21/2020 12:04:14 PM,99 - NONE,N/A
05/21/2020 12:25:00 PM,99 - NONE,MT. ADAMS
05/21/2020 12:40:00 PM,99 - NONE,ROSELAWN
05/21/2020 12:50:00 PM,99 - NONE,N/A
05/21/2020 01:10:00 PM,U - UNKNOWN,SOUTH FAIRMOUNT
05/21/2020 01:13:00 PM,99 - NONE,OAKLEY
05/21/2020 01:20:00 PM,99 - NONE,COLLEGE HILL
05/21/2020 01:23:00 PM,99 - NONE,MADISONVILLE
05/21/2020 01:33:00 PM,99 - NONE,N/A
05/21/2020 01:45:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",QUEENSGATE
05/21/2020 02:08:00 PM,12 - HANDGUN,VILLAGES AT ROLL HILL
05/21/2020 02:15:00 PM,99 - NONE,CUF
05/21/2020 02:24:39 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MT. AIRY
05/21/2020 02:24:39 PM,99 - NONE,MT. AIRY
05/21/2020 02:45:00 PM,99 - NONE,OVER-THE-RHINE
05/21/2020 03:00:00 PM,99 - NONE,BOND HILL
05/21/2020 03:25:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
05/21/2020 03:30:00 PM,99 - NONE,OAKLEY
05/21/2020 03:35:00 PM,99 - NONE,N/A
05/21/2020 03:40:00 PM,99 - NONE,COLLEGE HILL
05/21/2020 04:04:00 PM,99 - NONE,MILLVALE
05/21/2020 04:04:00 PM,99 - NONE,MILLVALE
05/21/2020 04:08:01 PM,99 - NONE,NORTH FAIRMOUNT
05/21/2020 04:12:10 PM,99 - NONE,N/A
05/21/2020 04:23:00 PM,99 - NONE,WESTWOOD
05/21/2020 04:32:28 PM,99 - NONE,NORTH FAIRMOUNT
05/21/2020 04:47:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/21/2020 04:52:05 PM,99 - NONE,SOUTH FAIRMOUNT
05/21/2020 05:01:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/21/2020 05:16:05 PM,99 - NONE,OAKLEY
05/21/2020 05:16:05 PM,99 - NONE,OAKLEY
05/21/2020 06:22:00 PM,99 - NONE,SOUTH FAIRMOUNT
05/21/2020 06:45:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",NORTHSIDE
05/21/2020 07:32:00 PM,99 - NONE,WALNUT HILLS
05/21/2020 07:53:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",CUF
05/21/2020 08:00:00 PM,11 - FIREARM (TYPE NOT STATED),MT. AIRY
05/21/2020 08:26:14 PM,12 - HANDGUN,N/A
05/21/2020 08:26:14 PM,12 - HANDGUN,N/A
05/21/2020 08:26:14 PM,12 - HANDGUN,N/A
05/21/2020 08:26:14 PM,12 - HANDGUN,N/A
05/21/2020 08:26:14 PM,12 - HANDGUN,N/A
05/21/2020 08:26:14 PM,12 - HANDGUN,N/A
05/21/2020 08:32:39 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",COLLEGE HILL
05/21/2020 08:40:00 PM,99 - NONE,WINTON HILLS
05/21/2020 08:51:54 PM,99 - NONE,WEST PRICE HILL
05/21/2020 08:55:00 PM,11 - FIREARM (TYPE NOT STATED),CLIFTON
05/21/2020 10:30:00 PM,99 - NONE,EAST PRICE HILL
05/21/2020 10:30:00 PM,99 - NONE,CORRYVILLE
05/21/2020 10:30:00 PM,99 - NONE,CORRYVILLE
05/21/2020 10:54:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/21/2020 11:09:00 PM,99 - NONE,WEST PRICE HILL
05/22/2020 12:06:00 AM,99 - NONE,EAST PRICE HILL
05/22/2020 12:17:00 AM,99 - NONE,MT. WASHINGTON
05/22/2020 12:25:00 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",WALNUT HILLS
05/22/2020 12:25:00 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",WALNUT HILLS
05/22/2020 12:25:00 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",WALNUT HILLS
05/22/2020 01:06:39 AM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",OVER-THE-RHINE
05/22/2020 01:14:00 AM,11 - FIREARM (TYPE NOT STATED),NORTH FAIRMOUNT
05/22/2020 01:14:00 AM,11 - FIREARM (TYPE NOT STATED),NORTH FAIRMOUNT
05/22/2020 01:14:00 AM,11 - FIREARM (TYPE NOT STATED),NORTH FAIRMOUNT
05/22/2020 01:14:00 AM,11 - FIREARM (TYPE NOT STATED),NORTH FAIRMOUNT
05/22/2020 01:15:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",VILLAGES AT ROLL HILL
05/22/2020 01:29:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MT. WASHINGTON
05/22/2020 01:58:32 AM,99 - NONE,EAST PRICE HILL
05/22/2020 02:30:00 AM,99 - NONE,LOWER PRICE HILL
05/22/2020 04:57:00 AM,99 - NONE,COLUMBIA TUSCULUM
05/22/2020 05:40:00 AM,99 - NONE,LOWER PRICE HILL
05/22/2020 05:55:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/22/2020 08:00:00 AM,99 - NONE,MT. AUBURN
05/22/2020 08:00:00 AM,99 - NONE,MT. AUBURN
05/22/2020 08:12:00 AM,99 - NONE,NORTHSIDE
05/22/2020 08:19:00 AM,99 - NONE,KENNEDY HEIGHTS
05/22/2020 08:27:00 AM,99 - NONE,KENNEDY HEIGHTS
05/22/2020 08:27:00 AM,99 - NONE,LOWER PRICE HILL
05/22/2020 09:31:00 AM,99 - NONE,VILLAGES AT ROLL HILL
05/22/2020 09:38:03 AM,99 - NONE,MT. AUBURN
05/22/2020 10:18:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/22/2020 10:18:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/22/2020 10:23:00 AM,99 - NONE,COLLEGE HILL
05/22/2020 10:30:00 AM,99 - NONE,N/A
05/22/2020 10:44:00 AM,99 - NONE,AVONDALE
05/22/2020 11:13:00 AM,99 - NONE,EAST END
05/22/2020 11:22:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
05/22/2020 12:30:00 PM,99 - NONE,N/A
05/22/2020 01:05:00 PM,99 - NONE,N/A
05/22/2020 01:16:00 PM,99 - NONE,OAKLEY
05/22/2020 01:21:45 PM,99 - NONE,EAST WESTWOOD
05/22/2020 01:33:00 PM,99 - NONE,WEST END
05/22/2020 01:59:32 PM,99 - NONE,MILLVALE
05/22/2020 02:30:00 PM,99 - NONE,OVER-THE-RHINE
05/22/2020 02:40:00 PM,99 - NONE,NORTHSIDE
05/22/2020 02:52:00 PM,12A - AUTOMATIC HANDGUN,WESTWOOD
05/22/2020 02:57:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",RIVERSIDE
05/22/2020 03:00:00 PM,99 - NONE,OAKLEY
05/22/2020 03:22:32 PM,99 - NONE,OVER-THE-RHINE
05/22/2020 03:26:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/22/2020 03:26:00 PM,99 - NONE,AVONDALE
05/22/2020 03:38:27 PM,99 - NONE,ROSELAWN
05/22/2020 03:41:00 PM,99 - NONE,N/A
05/22/2020 04:06:00 PM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",AVONDALE
05/22/2020 04:38:00 PM,99 - NONE,CUF
05/22/2020 04:47:22 PM,99 - NONE,WEST END
05/22/2020 04:50:00 PM,99 - NONE,CARTHAGE
05/22/2020 05:12:00 PM,99 - NONE,COLLEGE HILL
05/22/2020 05:19:00 PM,99 - NONE,COLLEGE HILL
05/22/2020 05:20:00 PM,99 - NONE,CUF
05/22/2020 05:20:00 PM,99 - NONE,CUF
05/22/2020 05:20:00 PM,99 - NONE,BOND HILL
05/22/2020 05:27:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",WINTON HILLS
05/22/2020 05:33:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/22/2020 05:33:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/22/2020 05:38:00 PM,99 - NONE,WESTWOOD
05/22/2020 06:15:00 PM,99 - NONE,MT. WASHINGTON
05/22/2020 06:34:00 PM,99 - NONE,CARTHAGE
05/22/2020 06:40:00 PM,99 - NONE,EAST PRICE HILL
05/22/2020 07:10:00 PM,99 - NONE,CORRYVILLE
05/22/2020 07:15:00 PM,12 - HANDGUN,N/A
05/22/2020 07:43:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/22/2020 08:04:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EVANSTON
05/22/2020 08:30:00 PM,99 - NONE,OVER-THE-RHINE
05/22/2020 08:32:00 PM,99 - NONE,SAYLER PARK
05/22/2020 09:00:00 PM,11 - FIREARM (TYPE NOT STATED),WESTWOOD
05/22/2020 09:52:54 PM,99 - NONE,N/A
05/22/2020 10:04:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WESTWOOD
05/22/2020 10:05:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/22/2020 10:36:34 PM,99 - NONE,LOWER PRICE HILL
05/22/2020 10:46:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",EAST PRICE HILL
05/22/2020 10:49:52 PM,99 - NONE,EAST PRICE HILL
05/22/2020 11:36:00 PM,99 - NONE,WINTON HILLS
05/22/2020 11:39:00 PM,99 - NONE,EVANSTON
05/22/2020 11:39:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EVANSTON
05/22/2020 11:46:32 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 12:19:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
05/23/2020 12:19:00 AM,99 - NONE,AVONDALE
05/23/2020 12:55:00 AM,U - UNKNOWN,WEST PRICE HILL
05/23/2020 01:24:00 AM,99 - NONE,PENDLETON
05/23/2020 02:57:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 02:59:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",SOUTH FAIRMOUNT
05/23/2020 03:00:00 AM,12 - HANDGUN,MILLVALE
05/23/2020 04:14:35 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WALNUT HILLS
05/23/2020 07:32:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 08:00:00 AM,U - UNKNOWN,EAST PRICE HILL
05/23/2020 08:07:24 AM,12 - HANDGUN,WESTWOOD
05/23/2020 08:32:00 AM,99 - NONE,AVONDALE
05/23/2020 10:21:59 AM,99 - NONE,HARTWELL
05/23/2020 10:34:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/23/2020 10:51:51 AM,99 - NONE,EAST WALNUT HILLS
05/23/2020 10:55:05 AM,99 - NONE,BOND HILL
05/23/2020 11:00:00 AM,99 - NONE,WEST PRICE HILL
05/23/2020 11:22:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WALNUT HILLS
05/23/2020 11:32:54 AM,99 - NONE,MADISONVILLE
05/23/2020 11:34:41 AM,99 - NONE,WESTWOOD
05/23/2020 11:40:00 AM,99 - NONE,WEST PRICE HILL
05/23/2020 11:50:18 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
05/23/2020 12:00:10 PM,,N/A
05/23/2020 12:09:00 PM,99 - NONE,WESTWOOD
05/23/2020 12:33:47 PM,15 - OTHER FIREARM,LOWER PRICE HILL
05/23/2020 12:53:23 PM,99 - NONE,OAKLEY
05/23/2020 01:06:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WESTWOOD
05/23/2020 01:26:00 PM,99 - NONE,EAST PRICE HILL
05/23/2020 01:32:00 PM,99 - NONE,KENNEDY HEIGHTS
05/23/2020 01:43:49 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WALNUT HILLS
05/23/2020 01:45:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WESTWOOD
05/23/2020 01:49:00 PM,13 - RIFLE,VILLAGES AT ROLL HILL
05/23/2020 01:55:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MT. AIRY
05/23/2020 01:56:59 PM,99 - NONE,WEST END
05/23/2020 02:07:00 PM,99 - NONE,CORRYVILLE
05/23/2020 02:28:00 PM,99 - NONE,VILLAGES AT ROLL HILL
05/23/2020 02:28:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",VILLAGES AT ROLL HILL
05/23/2020 02:29:45 PM,99 - NONE,WEST PRICE HILL
05/23/2020 02:37:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WALNUT HILLS
05/23/2020 02:41:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",VILLAGES AT ROLL HILL
05/23/2020 02:41:00 PM,99 - NONE,VILLAGES AT ROLL HILL
05/23/2020 02:41:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",VILLAGES AT ROLL HILL
05/23/2020 02:55:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 03:16:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/23/2020 03:21:08 PM,99 - NONE,NORTHSIDE
05/23/2020 03:27:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/23/2020 03:45:00 PM,99 - NONE,EAST PRICE HILL
05/23/2020 04:35:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",NORTHSIDE
05/23/2020 04:50:00 PM,35 - MOTOR VEHICLE (WHEN USED AS WEAPON),MT. WASHINGTON
05/23/2020 04:50:00 PM,99 - NONE,MT. WASHINGTON
05/23/2020 04:50:00 PM,99 - NONE,MT. WASHINGTON
05/23/2020 04:50:00 PM,35 - MOTOR VEHICLE (WHEN USED AS WEAPON),MT. WASHINGTON
05/23/2020 04:50:00 PM,99 - NONE,MT. WASHINGTON
05/23/2020 04:50:00 PM,99 - NONE,MT. WASHINGTON
05/23/2020 05:05:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
05/23/2020 05:30:33 PM,99 - NONE,WEST END
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 05:46:00 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 06:24:00 PM,99 - NONE,CORRYVILLE
05/23/2020 07:05:00 PM,99 - NONE,WEST END
05/23/2020 07:05:00 PM,99 - NONE,WEST END
05/23/2020 07:05:00 PM,99 - NONE,WEST END
05/23/2020 07:05:00 PM,99 - NONE,WEST END
05/23/2020 07:10:09 PM,99 - NONE,WEST PRICE HILL
05/23/2020 07:18:38 PM,99 - NONE,SEDAMSVILLE
05/23/2020 07:27:05 PM,99 - NONE,N/A
05/23/2020 07:29:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MILLVALE
05/23/2020 07:39:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/23/2020 08:25:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",NORTHSIDE
05/23/2020 08:26:00 PM,99 - NONE,MT. AIRY
05/23/2020 08:30:00 PM,99 - NONE,MT. AUBURN
05/23/2020 08:40:29 PM,99 - NONE,WESTWOOD
05/23/2020 08:45:00 PM,99 - NONE,CUF
05/23/2020 08:50:00 PM,11 - FIREARM (TYPE NOT STATED),EVANSTON
05/23/2020 09:22:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
05/23/2020 09:22:00 PM,99 - NONE,AVONDALE
05/23/2020 09:25:00 PM,99 - NONE,PLEASANT RIDGE
05/23/2020 09:41:17 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 09:41:17 PM,12 - HANDGUN,WINTON HILLS
05/23/2020 09:56:00 PM,99 - NONE,HARTWELL
05/23/2020 10:15:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MT. AIRY
05/23/2020 10:23:56 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",NORTH FAIRMOUNT
05/23/2020 10:23:56 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",NORTH FAIRMOUNT
05/23/2020 10:45:00 PM,U - UNKNOWN,WEST PRICE HILL
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,80 - OTHER WEAPON,N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:58:00 PM,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",N/A
05/23/2020 10:59:00 PM,99 - NONE,OVER-THE-RHINE
05/23/2020 10:59:00 PM,99 - NONE,OVER-THE-RHINE
05/23/2020 11:00:00 PM,99 - NONE,CUF
05/23/2020 11:26:00 PM,99 - NONE,CUF
05/23/2020 11:26:00 PM,99 - NONE,HYDE PARK
05/23/2020 11:39:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST PRICE HILL
05/23/2020 11:40:00 PM,99 - NONE,MT. AIRY
05/24/2020 12:23:00 AM,99 - NONE,EAST WESTWOOD
05/24/2020 12:29:00 AM,12 - HANDGUN,LINWOOD
05/24/2020 12:29:00 AM,12 - HANDGUN,LINWOOD
05/24/2020 12:29:00 AM,12 - HANDGUN,LINWOOD
05/24/2020 12:29:00 AM,12 - HANDGUN,LINWOOD
05/24/2020 12:34:00 AM,99 - NONE,MT. AUBURN
05/24/2020 01:00:00 AM,99 - NONE,CUF
05/24/2020 01:19:04 AM,99 - NONE,EAST PRICE HILL
05/24/2020 02:14:00 AM,80 - OTHER WEAPON,WESTWOOD
05/24/2020 02:18:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",HARTWELL
05/24/2020 02:18:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",HARTWELL
05/24/2020 02:18:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",HARTWELL
05/24/2020 03:20:00 AM,99 - NONE,WEST END
05/24/2020 03:28:00 AM,12 - HANDGUN,ROSELAWN
05/24/2020 03:30:00 AM,U - UNKNOWN,NORTH FAIRMOUNT
