DATE_REPORTED,WEAPONS,SNA_NEIGHBORHOOD
11/06/2019 08:24:00 PM,U - UNKNOWN,WEST PRICE HILL
11/06/2019 08:24:00 PM,U - UNKNOWN,WEST PRICE HILL
11/06/2019 08:45:58 PM,99 - NONE,NORTHSIDE
11/06/2019 09:14:00 PM,99 - NONE,COLLEGE HILL
11/06/2019 09:14:00 PM,99 - NONE,COLLEGE HILL
11/06/2019 09:24:31 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MT. AUBURN
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:40:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 09:49:00 PM,12 - HANDGUN,EAST PRICE HILL
11/06/2019 09:49:00 PM,35 - MOTOR VEHICLE (WHEN USED AS WEAPON),CLIFTON
11/06/2019 09:49:00 PM,12 - HANDGUN,EAST PRICE HILL
11/06/2019 09:49:00 PM,12 - HANDGUN,EAST PRICE HILL
11/06/2019 09:49:00 PM,12 - HANDGUN,EAST PRICE HILL
11/06/2019 09:49:00 PM,12 - HANDGUN,EAST PRICE HILL
11/06/2019 09:49:00 PM,12 - HANDGUN,EAST PRICE HILL
11/06/2019 10:00:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",HARTWELL
11/06/2019 10:17:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
11/06/2019 10:55:00 PM,80 - OTHER WEAPON,QUEENSGATE
11/06/2019 10:55:00 PM,80 - OTHER WEAPON,QUEENSGATE
11/06/2019 10:55:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",QUEENSGATE
11/06/2019 10:55:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",QUEENSGATE
11/06/2019 10:55:00 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",QUEENSGATE
11/06/2019 10:55:00 PM,80 - OTHER WEAPON,QUEENSGATE
11/06/2019 10:57:00 PM,99 - NONE,ROSELAWN
11/06/2019 10:57:00 PM,99 - NONE,ROSELAWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
